,Address - From Geocoder,Company_Name,File_List,Geocode Score,Header,Header_Clean,Latitude,Longitude,Match Score,Query,Text
55,"111 Westminster St, Providence, RI",K-P Audit Co,['cd1978/entry/1978_Page_70 (3)_18.png'],100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,K-P Audit Co 111 Westminster St Rm 417
56,"501 Angell St, Providence, RI",Kanter Herbert,['cd1978/entry/1978_Page_70 (3)_19.png'],100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.83020600394716,-71.38748876555576,100.0,501 ANGELL ST PROVIDENCE,Kanter Herbert 501 Angell St
57,"74 Vassar Ave, Providence, RI",Kenyon John T,['cd1978/entry/1978_Page_70 (3)_23.png'],100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.84490831086053,-71.39291712710815,100.0,74 VASSAR AVE PROVIDENCE,Kenyon John T 74 Vassar Av
58,"111 Wayland Ave, Providence, RI",Kilberg Pierce & Co,['cd1978/entry/1978_Page_70 (3)_24.png'],100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.82666769077402,-71.38844950588606,100.0,111 WAYLAND AVE PROVIDENCE,Kilberg Pierce & Co 111 Wayland Av
59,"501 Angell St, Providence, RI",Labush Bernard,['cd1978/entry/1978_Page_70 (3)_25.png'],100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.83020600394716,-71.38748876555576,100.0,501 ANGELL ST PROVIDENCE,Labush Bernard 501 Angell St
60,HARDCODE,Laventhol & Horwath,"['cd1978/entry/1978_Page_70 (3)_28.png', 'cd1978/entry/1978_Page_70 (3)_29.png']",100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.824936,-71.409435,100.0,40 WESTMINSTER ST PROVIDENCE,Laventhol & Horwath 40 Westminster St Rm 1120
61,"58 Weybosset St, Providence, RI",M A S Associates,['cd1978/entry/1978_Page_70 (3)_30.png'],100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.82382395857898,-71.409823583854,90.5,58 WEYBOSSET ST PROVIDENCE,M A S Associates 58 Weyboeset St Rm 703
62,"438 Broadway, Providence, RI",Mardo Anthony & Co,['cd1978/entry/1978_Page_70 (3)_31.png'],100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.81899401288266,-71.43255169782127,100.0,438 BROADWAY PROVIDENCE,Mardo Anthony & Co 438 Broadway
63,"428 Smith St, Providence, RI",Monacelli Ovid L,['cd1978/entry/1978_Page_70 (3)_34.png'],100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.83511431783666,-71.42550636067058,100.0,428 SMITH ST PROVIDENCE,Monacelli Ovid L 428 Smith St Rm 1
64,"111 Westminster St, Providence, RI",Murphy Raymond F & Co,"['cd1978/entry/1978_Page_70 (3)_35.png', 'cd1978/entry/1978_Page_70 (3)_36.png']",100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,Murphy Raymond F & Co 111 Westminster St Rm 1700
